Name,AI Type,Commercial Type,Product,Description,Product Category,Package,Quick Filters,Availability,Identifier,Detail Page
"2D Hotspot Creation","AI Feature","","SAP Integrated Product Development","Automatically create hotspots on 2D drawings and tag with business data.","Supply Chain Management","","Joule","Beta","J172","https://discovery-center.cloud.sap/ai-feature/c523c267-0a3d-4430-9cba-e75df8caac1b/"
"Account Matching","AI Feature","Base","SAP Returnable Packaging Management","Account matching and forecasting of packaging demand.","Supply Chain Management","","","Generally Available","J826","https://discovery-center.cloud.sap/ai-feature/2fcc4e02-16bc-4c81-886b-ade4aa2a6efb/"
"Account Synopsis","AI Feature","Premium","SAP Sales Cloud Version 2","Facilitate targeted and relevant sales conversations.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J4","https://discovery-center.cloud.sap/ai-feature/3b30cb7f-1819-4001-aa0e-1d1ad045c453/"
"Account Synopsis","AI Feature","Premium","SAP Service Cloud Version 2","Provides all the information related to an account that helps service agents.","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J7","https://discovery-center.cloud.sap/ai-feature/69270d79-572f-454e-a3a6-d3841320c6a4/"
"Accounting Accruals Agent","AI Agent","","","Automate journal entry preparation for manual accruals.","Cloud ERP applications","","Joule","Beta","J787","https://discovery-center.cloud.sap/ai-feature/2ba6ab3e-ff22-4cb6-b3b4-20613ae8f6e3/"
"Accounts Receivable","AI Feature","Premium","SAP Cash Application","Automate clearing and recommending proposed matches by accounts receivable.","Financial Management","","","Generally Available","J763","https://discovery-center.cloud.sap/ai-feature/8adc6e0a-2994-455e-8c0d-ecb27f311afa/"
"Accounts Receivable Agent","AI Agent","","","Reduce uncollectable write-offs with an agent.","Financial Management","","Joule","Beta","J467","https://discovery-center.cloud.sap/ai-feature/ecd030e9-59b3-43b4-85cf-260d498912dd/"
"Activity Summary","AI Feature","Premium","SAP Field Service Management","Generate summaries of activities.","Supply Chain Management","","","Generally Available","J94","https://discovery-center.cloud.sap/ai-feature/0fa4e6c1-fe9c-422a-95e9-cb07a9761743/"
"Add-in for Microsoft Excel‚ AI-assisted Planning","AI Feature","Premium","SAP Integrated Business Planning","AI-Assisted generation of SAP IBP formulas.","Supply Chain Management","Joule Premium for Supply Chain Management","","Generally Available","J176","https://discovery-center.cloud.sap/ai-feature/ef5842b1-bae5-41cd-8b9a-0399fb1c3e7f/"
"Advanced Skill Match","AI Feature","Base","SAP Project and Resource Management","Find skilled employees for a resource request.","Supply Chain Management","","","Generally Available","J124","https://discovery-center.cloud.sap/ai-feature/24ff1cbe-25b2-4791-aa17-a639ca0c0114/"
"Agent Builder","AI Feature","Base","Joule Studio","Easily build Joule agents to automate complex business processes.","Financial Management","","Featured‚Joule","Generally Available","J308","https://discovery-center.cloud.sap/ai-feature/c95490eb-95c3-4b0a-b9ea-08144355d482/"
